VIN,Time,DCLname,vType,startLaneId,destRoad
1024,8.0600,NorthBound0Entrance,COUPE,2,1st Street W
1025,8.1000,NorthBound0Entrance,COUPE,1,1st Street E
1282,83.3400,NorthBound0Entrance,SUV,0,1st Street E
1540,160.3000,NorthBound0Entrance,SUV,2,1st Street E
1541,160.5200,NorthBound0Entrance,COUPE,1,1st Street E
1286,84.4400,NorthBound0Entrance,VAN,2,1st Street E
1031,9.7200,NorthBound0Entrance,SEDAN,2,1st Street E
1287,84.8000,NorthBound0Entrance,VAN,1,1st Street E
1288,85.1800,NorthBound0Entrance,SEDAN,0,1st Avenue N
1544,160.9600,NorthBound0Entrance,SUV,0,1st Street E
1034,10.9800,NorthBound0Entrance,COUPE,0,1st Street W
1036,11.1000,NorthBound0Entrance,VAN,2,1st Street E
1549,162.7200,NorthBound0Entrance,VAN,0,1st Avenue N
1294,86.6600,NorthBound0Entrance,SUV,2,1st Street W
1550,162.7200,NorthBound0Entrance,VAN,1,1st Street E
1296,87.5200,NorthBound0Entrance,VAN,0,1st Avenue N
1554,163.8000,NorthBound0Entrance,COUPE,2,1st Street W
1299,88.2200,NorthBound0Entrance,SUV,2,1st Avenue N
1045,12.9800,NorthBound0Entrance,SEDAN,0,1st Avenue N
1046,13.1400,NorthBound0Entrance,COUPE,1,1st Avenue N
1558,164.4800,NorthBound0Entrance,SEDAN,0,1st Street W
1303,90.4400,NorthBound0Entrance,SEDAN,2,1st Street W
1049,14.2600,NorthBound0Entrance,COUPE,2,1st Avenue N
1306,91.0200,NorthBound0Entrance,VAN,0,1st Street E
1053,15.0200,NorthBound0Entrance,SUV,1,1st Street E
1309,91.7600,NorthBound0Entrance,SEDAN,1,1st Avenue N
1055,15.7000,NorthBound0Entrance,COUPE,0,1st Street E
1312,92.8800,NorthBound0Entrance,SUV,0,1st Avenue N
1571,168.5200,NorthBound0Entrance,VAN,1,1st Street E
1060,17.0400,NorthBound0Entrance,SUV,2,1st Avenue N
1572,168.5600,NorthBound0Entrance,SUV,0,1st Street E
1061,17.5400,NorthBound0Entrance,SUV,0,1st Street E
1573,169.2000,NorthBound0Entrance,SUV,2,1st Avenue N
1320,94.8000,NorthBound0Entrance,VAN,1,1st Street W
1066,18.9400,NorthBound0Entrance,COUPE,0,1st Street W
1578,170.5200,NorthBound0Entrance,COUPE,1,1st Street W
1324,96.1600,NorthBound0Entrance,VAN,1,1st Avenue N
1580,170.6600,NorthBound0Entrance,COUPE,0,1st Avenue N
1070,20.0000,NorthBound0Entrance,COUPE,2,1st Street W
1071,20.0600,NorthBound0Entrance,COUPE,1,1st Street E
1073,20.9800,NorthBound0Entrance,SEDAN,0,1st Avenue N
1585,172.0800,NorthBound0Entrance,COUPE,2,1st Street E
1331,97.7800,NorthBound0Entrance,COUPE,0,1st Street E
1334,99.3400,NorthBound0Entrance,SEDAN,1,1st Street W
1590,173.5400,NorthBound0Entrance,COUPE,1,1st Avenue N
1591,173.5800,NorthBound0Entrance,SEDAN,0,1st Street W
1080,22.5200,NorthBound0Entrance,SEDAN,0,1st Street W
1082,23.2800,NorthBound0Entrance,SEDAN,1,1st Street W
1338,100.6600,NorthBound0Entrance,COUPE,0,1st Avenue N
1084,23.9000,NorthBound0Entrance,VAN,2,1st Street E
1340,101.9600,NorthBound0Entrance,VAN,2,1st Street E
1341,102.3800,NorthBound0Entrance,SUV,0,1st Avenue N
1597,176.7600,NorthBound0Entrance,COUPE,2,1st Avenue N
1342,102.4200,NorthBound0Entrance,SUV,1,1st Street E
1601,177.7800,NorthBound0Entrance,SEDAN,1,1st Street E
1603,178.5600,NorthBound0Entrance,COUPE,0,1st Street E
1350,104.5600,NorthBound0Entrance,COUPE,2,1st Street W
1606,179.2200,NorthBound0Entrance,VAN,2,1st Street E
1095,27.2200,NorthBound0Entrance,COUPE,0,1st Street E
1352,104.9200,NorthBound0Entrance,SEDAN,0,1st Street E
1097,29.3600,NorthBound0Entrance,COUPE,2,1st Street W
1354,105.8000,NorthBound0Entrance,VAN,1,1st Street E
1610,180.8800,NorthBound0Entrance,SEDAN,0,1st Street W
1356,106.8200,NorthBound0Entrance,VAN,0,1st Street W
1358,107.2600,NorthBound0Entrance,VAN,2,1st Street E
1105,31.4200,NorthBound0Entrance,COUPE,2,1st Avenue N
1362,108.3800,NorthBound0Entrance,SEDAN,1,1st Avenue N
1109,32.9200,NorthBound0Entrance,SEDAN,2,1st Avenue N
1365,109.8600,NorthBound0Entrance,VAN,2,1st Street E
1112,33.4800,NorthBound0Entrance,SUV,0,1st Street E
1624,184.2400,NorthBound0Entrance,SEDAN,2,1st Avenue N
1369,110.6200,NorthBound0Entrance,COUPE,1,1st Avenue N
1115,34.2600,NorthBound0Entrance,SUV,1,1st Street E
1627,185.2400,NorthBound0Entrance,COUPE,1,1st Avenue N
1629,185.5400,NorthBound0Entrance,SEDAN,0,1st Street E
1120,35.6200,NorthBound0Entrance,SUV,2,1st Avenue N
1632,186.8400,NorthBound0Entrance,SUV,2,1st Street E
1378,115.0000,NorthBound0Entrance,COUPE,1,1st Avenue N
1123,36.0200,NorthBound0Entrance,COUPE,1,1st Avenue N
1636,187.8200,NorthBound0Entrance,SUV,1,1st Street W
1126,37.4400,NorthBound0Entrance,SUV,0,1st Street E
1128,37.6200,NorthBound0Entrance,VAN,1,1st Street W
1640,188.9200,NorthBound0Entrance,SUV,2,1st Avenue N
1385,117.7200,NorthBound0Entrance,SUV,0,1st Avenue N
1641,189.2000,NorthBound0Entrance,VAN,0,1st Avenue N
1133,39.4400,NorthBound0Entrance,SUV,0,1st Avenue N
1389,119.2400,NorthBound0Entrance,VAN,1,1st Street W
1134,39.9800,NorthBound0Entrance,VAN,1,1st Avenue N
1646,190.6800,NorthBound0Entrance,SEDAN,2,1st Street E
1647,190.9000,NorthBound0Entrance,SUV,0,1st Avenue N
1392,119.7800,NorthBound0Entrance,COUPE,2,1st Street E
1648,191.0200,NorthBound0Entrance,VAN,1,1st Avenue N
1138,41.3400,NorthBound0Entrance,SUV,1,1st Street W
1394,120.2800,NorthBound0Entrance,VAN,0,1st Street W
1140,41.6400,NorthBound0Entrance,SUV,2,1st Street W
1653,192.2200,NorthBound0Entrance,SUV,2,1st Street E
1399,121.4400,NorthBound0Entrance,SUV,2,1st Street E
1655,192.6600,NorthBound0Entrance,SEDAN,1,1st Street W
1400,121.9400,NorthBound0Entrance,VAN,1,1st Street E
1145,43.1600,NorthBound0Entrance,VAN,1,1st Street E
1146,43.2800,NorthBound0Entrance,SUV,0,1st Street E
1404,123.2200,NorthBound0Entrance,SUV,2,1st Street E
1661,194.4200,NorthBound0Entrance,SUV,0,1st Street E
1150,43.8000,NorthBound0Entrance,SUV,2,1st Avenue N
1407,124.0200,NorthBound0Entrance,SUV,0,1st Avenue N
1665,195.7200,NorthBound0Entrance,VAN,2,1st Street W
1155,45.8200,NorthBound0Entrance,COUPE,2,1st Avenue N
1157,46.0800,NorthBound0Entrance,COUPE,1,1st Street W
1670,197.1400,NorthBound0Entrance,SUV,2,1st Street W
1416,126.9400,NorthBound0Entrance,SEDAN,0,1st Street W
1672,197.3200,NorthBound0Entrance,VAN,0,1st Street W
1673,197.3400,NorthBound0Entrance,VAN,1,1st Street W
1164,47.4000,NorthBound0Entrance,SEDAN,2,1st Street W
1420,128.9400,NorthBound0Entrance,COUPE,1,1st Avenue N
1678,198.6200,NorthBound0Entrance,VAN,2,1st Street E
1423,129.3600,NorthBound0Entrance,SEDAN,2,1st Street W
1682,199.3600,NorthBound0Entrance,COUPE,0,1st Street E
1174,50.8000,NorthBound0Entrance,SEDAN,0,1st Street W
1686,199.7600,NorthBound0Entrance,VAN,1,1st Street E
1433,131.6600,NorthBound0Entrance,COUPE,0,1st Street W
1435,131.7600,NorthBound0Entrance,COUPE,1,1st Avenue N
1436,131.9400,NorthBound0Entrance,SEDAN,2,1st Avenue N
1182,52.6200,NorthBound0Entrance,COUPE,1,1st Street E
1185,53.4200,NorthBound0Entrance,SUV,0,1st Avenue N
1441,133.2200,NorthBound0Entrance,VAN,0,1st Street W
1186,53.6800,NorthBound0Entrance,SUV,2,1st Avenue N
1189,54.8400,NorthBound0Entrance,VAN,1,1st Avenue N
1445,134.0400,NorthBound0Entrance,SEDAN,1,1st Street W
1190,54.9200,NorthBound0Entrance,SUV,0,1st Avenue N
1451,136.2400,NorthBound0Entrance,VAN,0,1st Avenue N
1197,56.9600,NorthBound0Entrance,COUPE,2,1st Avenue N
1198,57.2200,NorthBound0Entrance,SUV,1,1st Avenue N
1456,137.9200,NorthBound0Entrance,SUV,1,1st Street E
1206,59.4200,NorthBound0Entrance,COUPE,1,1st Avenue N
1211,60.4400,NorthBound0Entrance,VAN,2,1st Avenue N
1467,141.7600,NorthBound0Entrance,SUV,2,1st Street W
1212,60.8000,NorthBound0Entrance,COUPE,1,1st Street E
1470,142.1400,NorthBound0Entrance,COUPE,0,1st Avenue N
1474,143.3400,NorthBound0Entrance,COUPE,1,1st Avenue N
1219,62.5800,NorthBound0Entrance,VAN,2,1st Avenue N
1476,143.8000,NorthBound0Entrance,COUPE,2,1st Avenue N
1221,63.8400,NorthBound0Entrance,COUPE,0,1st Street W
1477,143.8800,NorthBound0Entrance,SEDAN,0,1st Avenue N
1227,65.3400,NorthBound0Entrance,SEDAN,1,1st Avenue N
1228,66.0200,NorthBound0Entrance,COUPE,0,1st Avenue N
1233,67.3000,NorthBound0Entrance,SUV,0,1st Street W
1489,146.3000,NorthBound0Entrance,COUPE,2,1st Avenue N
1235,68.8200,NorthBound0Entrance,VAN,2,1st Avenue N
1491,146.9400,NorthBound0Entrance,SEDAN,1,1st Street E
1237,69.1400,NorthBound0Entrance,SUV,1,1st Avenue N
1242,70.5200,NorthBound0Entrance,SUV,0,1st Street W
1243,70.6800,NorthBound0Entrance,SEDAN,2,1st Avenue N
1499,149.4000,NorthBound0Entrance,SUV,1,1st Avenue N
1501,149.9800,NorthBound0Entrance,COUPE,0,1st Avenue N
1248,72.1400,NorthBound0Entrance,VAN,2,1st Street E
1508,151.9400,NorthBound0Entrance,SEDAN,0,1st Avenue N
1253,73.7000,NorthBound0Entrance,COUPE,0,1st Street E
1255,74.3800,NorthBound0Entrance,VAN,1,1st Street W
1256,75.8200,NorthBound0Entrance,VAN,0,1st Avenue N
1512,152.9600,NorthBound0Entrance,SEDAN,2,1st Street W
1257,75.8600,NorthBound0Entrance,SUV,1,1st Avenue N
1514,153.3400,NorthBound0Entrance,SEDAN,1,1st Street E
1517,154.1000,NorthBound0Entrance,VAN,0,1st Avenue N
1262,77.5600,NorthBound0Entrance,SUV,2,1st Avenue N
1008,3.6600,NorthBound0Entrance,COUPE,0,1st Street E
1265,79.1400,NorthBound0Entrance,SUV,2,1st Street E
1522,154.8600,NorthBound0Entrance,VAN,1,1st Street W
1011,4.2600,NorthBound0Entrance,SUV,2,1st Avenue N
1269,80.0800,NorthBound0Entrance,VAN,1,1st Street E
1015,5.5400,NorthBound0Entrance,COUPE,1,1st Street E
1530,157.0800,NorthBound0Entrance,COUPE,0,1st Street W
1532,157.2800,NorthBound0Entrance,SEDAN,1,1st Street E
1279,82.4200,NorthBound0Entrance,VAN,2,1st Street E
1535,158.9000,NorthBound0Entrance,VAN,1,1st Street W
1280,110.3400,NorthBound0Exit,SUV,6,1st Avenue N
1028,38.5000,NorthBound0Exit,SUV,11,1st Avenue N
1029,33.0600,NorthBound0Exit,SEDAN,6,1st Avenue N
1288,116.2800,NorthBound0Exit,SEDAN,0,1st Avenue N
1548,179.3200,NorthBound0Exit,SUV,6,1st Avenue N
1040,34.3600,NorthBound0Exit,COUPE,10,1st Avenue N
1296,122.7800,NorthBound0Exit,VAN,0,1st Avenue N
1041,23.0600,NorthBound0Exit,COUPE,9,1st Avenue N
1042,40.4800,NorthBound0Exit,SUV,11,1st Avenue N
1299,188.3400,NorthBound0Exit,SUV,2,1st Avenue N
1045,23.7400,NorthBound0Exit,SEDAN,0,1st Avenue N
1301,145.2800,NorthBound0Exit,SEDAN,9,1st Avenue N
1046,23.9000,NorthBound0Exit,COUPE,1,1st Avenue N
1049,41.0000,NorthBound0Exit,COUPE,2,1st Avenue N
1307,103.2400,NorthBound0Exit,COUPE,10,1st Avenue N
1308,136.8000,NorthBound0Exit,SUV,8,1st Avenue N
1309,102.5200,NorthBound0Exit,SEDAN,1,1st Avenue N
1312,150.5200,NorthBound0Exit,SUV,0,1st Avenue N
1059,28.3600,NorthBound0Exit,SUV,9,1st Avenue N
1060,51.9200,NorthBound0Exit,SUV,2,1st Avenue N
1062,57.6000,NorthBound0Exit,COUPE,8,1st Avenue N
1319,162.0800,NorthBound0Exit,SUV,9,1st Avenue N
1064,30.2600,NorthBound0Exit,SUV,9,1st Avenue N
1324,106.9200,NorthBound0Exit,VAN,1,1st Avenue N
1325,167.8600,NorthBound0Exit,COUPE,9,1st Avenue N
1073,39.5400,NorthBound0Exit,SEDAN,0,1st Avenue N
1077,48.1400,NorthBound0Exit,SEDAN,11,1st Avenue N
1335,142.2400,NorthBound0Exit,VAN,8,1st Avenue N
1336,169.7600,NorthBound0Exit,SEDAN,11,1st Avenue N
1337,170.2400,NorthBound0Exit,COUPE,7,1st Avenue N
1338,154.7800,NorthBound0Exit,COUPE,0,1st Avenue N
1083,75.0800,NorthBound0Exit,SUV,8,1st Avenue N
1341,159.7000,NorthBound0Exit,SUV,0,1st Avenue N
1088,79.2400,NorthBound0Exit,VAN,8,1st Avenue N
1091,60.9200,NorthBound0Exit,SUV,11,1st Avenue N
1093,87.7400,NorthBound0Exit,SUV,8,1st Avenue N
1351,174.6800,NorthBound0Exit,SEDAN,11,1st Avenue N
1353,180.8200,NorthBound0Exit,VAN,9,1st Avenue N
1355,176.2400,NorthBound0Exit,SUV,11,1st Avenue N
1357,182.9200,NorthBound0Exit,SUV,9,1st Avenue N
1103,62.2400,NorthBound0Exit,COUPE,11,1st Avenue N
1360,126.1000,NorthBound0Exit,COUPE,6,1st Avenue N
1105,106.6000,NorthBound0Exit,COUPE,2,1st Avenue N
1362,123.0600,NorthBound0Exit,SEDAN,1,1st Avenue N
1108,47.9400,NorthBound0Exit,COUPE,6,1st Avenue N
1620,196.3200,NorthBound0Exit,COUPE,6,1st Avenue N
1109,109.0600,NorthBound0Exit,SEDAN,2,1st Avenue N
1367,190.0600,NorthBound0Exit,SUV,9,1st Avenue N
1369,125.2000,NorthBound0Exit,COUPE,1,1st Avenue N
1118,55.5200,NorthBound0Exit,SUV,9,1st Avenue N
1120,112.6800,NorthBound0Exit,SUV,2,1st Avenue N
1121,93.5200,NorthBound0Exit,SUV,8,1st Avenue N
1122,49.7000,NorthBound0Exit,SEDAN,10,1st Avenue N
1378,131.2000,NorthBound0Exit,COUPE,1,1st Avenue N
1123,51.6200,NorthBound0Exit,COUPE,1,1st Avenue N
1124,58.9200,NorthBound0Exit,VAN,9,1st Avenue N
1380,134.2600,NorthBound0Exit,COUPE,10,1st Avenue N
1383,191.9800,NorthBound0Exit,SUV,9,1st Avenue N
1384,185.8600,NorthBound0Exit,VAN,11,1st Avenue N
1129,51.4000,NorthBound0Exit,COUPE,10,1st Avenue N
1385,176.8600,NorthBound0Exit,SUV,0,1st Avenue N
1386,138.9200,NorthBound0Exit,SUV,10,1st Avenue N
1387,178.0400,NorthBound0Exit,SUV,7,1st Avenue N
1133,58.6000,NorthBound0Exit,SUV,0,1st Avenue N
1134,59.4600,NorthBound0Exit,VAN,1,1st Avenue N
1135,54.9800,NorthBound0Exit,SUV,10,1st Avenue N
1391,184.8800,NorthBound0Exit,COUPE,7,1st Avenue N
1139,58.2800,NorthBound0Exit,SUV,10,1st Avenue N
1395,138.3600,NorthBound0Exit,SUV,6,1st Avenue N
1144,72.3000,NorthBound0Exit,SUV,7,1st Avenue N
1403,142.6800,NorthBound0Exit,SEDAN,10,1st Avenue N
1150,123.6600,NorthBound0Exit,SUV,2,1st Avenue N
1407,191.8800,NorthBound0Exit,SUV,0,1st Avenue N
1408,148.7000,NorthBound0Exit,SUV,10,1st Avenue N
1154,63.7200,NorthBound0Exit,SUV,9,1st Avenue N
1155,125.5800,NorthBound0Exit,COUPE,2,1st Avenue N
1159,66.6600,NorthBound0Exit,VAN,11,1st Avenue N
1418,140.7600,NorthBound0Exit,VAN,6,1st Avenue N
1420,139.7000,NorthBound0Exit,COUPE,1,1st Avenue N
1166,68.1400,NorthBound0Exit,VAN,10,1st Avenue N
1170,71.7600,NorthBound0Exit,SEDAN,6,1st Avenue N
1430,200.4200,NorthBound0Exit,VAN,11,1st Avenue N
1432,148.4200,NorthBound0Exit,SEDAN,6,1st Avenue N
1435,142.5200,NorthBound0Exit,COUPE,1,1st Avenue N
1181,72.9200,NorthBound0Exit,SEDAN,9,1st Avenue N
1185,67.9000,NorthBound0Exit,SUV,0,1st Avenue N
1186,134.7600,NorthBound0Exit,SUV,2,1st Avenue N
1443,167.3400,NorthBound0Exit,VAN,10,1st Avenue N
1188,74.4600,NorthBound0Exit,SUV,9,1st Avenue N
1189,76.6600,NorthBound0Exit,VAN,1,1st Avenue N
1190,74.1400,NorthBound0Exit,SUV,0,1st Avenue N
1197,135.9600,NorthBound0Exit,COUPE,2,1st Avenue N
1198,79.9000,NorthBound0Exit,SUV,1,1st Avenue N
1199,100.8800,NorthBound0Exit,COUPE,7,1st Avenue N
1200,87.9600,NorthBound0Exit,VAN,10,1st Avenue N
1457,158.9800,NorthBound0Exit,VAN,8,1st Avenue N
1205,90.0200,NorthBound0Exit,VAN,10,1st Avenue N
1206,82.4200,NorthBound0Exit,COUPE,1,1st Avenue N
1207,87.2000,NorthBound0Exit,SEDAN,6,1st Avenue N
1211,143.4200,NorthBound0Exit,VAN,2,1st Avenue N
1474,154.1000,NorthBound0Exit,COUPE,1,1st Avenue N
1219,149.4400,NorthBound0Exit,VAN,2,1st Avenue N
1224,91.1000,NorthBound0Exit,SEDAN,6,1st Avenue N
1225,112.1400,NorthBound0Exit,SEDAN,11,1st Avenue N
1227,86.8600,NorthBound0Exit,SEDAN,1,1st Avenue N
1228,82.7200,NorthBound0Exit,COUPE,0,1st Avenue N
1230,91.4600,NorthBound0Exit,SUV,10,1st Avenue N
1486,164.2000,NorthBound0Exit,VAN,6,1st Avenue N
1235,156.0600,NorthBound0Exit,VAN,2,1st Avenue N
1237,88.3000,NorthBound0Exit,SUV,1,1st Avenue N
1240,95.5000,NorthBound0Exit,SUV,6,1st Avenue N
1241,115.0800,NorthBound0Exit,SUV,11,1st Avenue N
1498,173.8600,NorthBound0Exit,COUPE,8,1st Avenue N
1499,163.7600,NorthBound0Exit,SUV,1,1st Avenue N
1243,164.1000,NorthBound0Exit,SEDAN,2,1st Avenue N
1246,93.5000,NorthBound0Exit,SUV,10,1st Avenue N
1251,118.6200,NorthBound0Exit,SEDAN,9,1st Avenue N
1000,13.1600,NorthBound0Exit,COUPE,7,1st Avenue N
1256,103.6200,NorthBound0Exit,VAN,0,1st Avenue N
1001,12.7800,NorthBound0Exit,VAN,9,1st Avenue N
1257,94.1400,NorthBound0Exit,SUV,1,1st Avenue N
1002,13.8400,NorthBound0Exit,COUPE,8,1st Avenue N
1003,16.5800,NorthBound0Exit,COUPE,10,1st Avenue N
1259,119.0000,NorthBound0Exit,COUPE,7,1st Avenue N
1262,171.3800,NorthBound0Exit,SUV,2,1st Avenue N
1007,15.8600,NorthBound0Exit,COUPE,11,1st Avenue N
1266,123.1000,NorthBound0Exit,VAN,11,1st Avenue N
1011,23.6400,NorthBound0Exit,SUV,2,1st Avenue N
1523,186.0000,NorthBound0Exit,VAN,8,1st Avenue N
1524,173.2400,NorthBound0Exit,COUPE,6,1st Avenue N
1013,22.5800,NorthBound0Exit,VAN,8,1st Avenue N
1270,139.8200,NorthBound0Exit,SEDAN,9,1st Avenue N
1529,189.7600,NorthBound0Exit,COUPE,8,1st Avenue N
1018,18.7800,NorthBound0Exit,SEDAN,9,1st Avenue N
1537,159.7000,SouthBound0Entrance,SUV,5,1st Street W
1538,159.8400,SouthBound0Entrance,SEDAN,4,1st Street E
1283,83.7400,SouthBound0Entrance,SEDAN,4,1st Street E
1032,9.8400,SouthBound0Entrance,VAN,3,1st Street W
1033,10.8200,SouthBound0Entrance,SEDAN,5,1st Avenue S
1545,161.2600,SouthBound0Entrance,COUPE,3,1st Street E
1039,11.8000,SouthBound0Entrance,VAN,3,1st Street E
1551,163.2800,SouthBound0Entrance,SUV,4,1st Street W
1552,163.7400,SouthBound0Entrance,SEDAN,3,1st Street E
1297,87.5400,SouthBound0Entrance,SEDAN,4,1st Avenue S
1298,87.6200,SouthBound0Entrance,SEDAN,3,1st Street W
1043,12.8000,SouthBound0Entrance,VAN,5,1st Street E
1557,164.1200,SouthBound0Entrance,COUPE,5,1st Street E
1302,89.2800,SouthBound0Entrance,VAN,4,1st Street W
1559,164.8600,SouthBound0Entrance,VAN,4,1st Street W
1304,90.5600,SouthBound0Entrance,SUV,3,1st Street E
1562,165.9800,SouthBound0Entrance,SEDAN,5,1st Street W
1054,15.4000,SouthBound0Entrance,COUPE,5,1st Street E
1567,167.8000,SouthBound0Entrance,SEDAN,5,1st Street W
1568,167.8400,SouthBound0Entrance,SUV,3,1st Street E
1057,16.3200,SouthBound0Entrance,SEDAN,4,1st Street E
1313,93.0000,SouthBound0Entrance,VAN,5,1st Avenue S
1058,16.6000,SouthBound0Entrance,SUV,3,1st Street E
1315,93.1000,SouthBound0Entrance,SEDAN,4,1st Street W
1063,18.1600,SouthBound0Entrance,SUV,4,1st Street W
1575,169.6400,SouthBound0Entrance,COUPE,3,1st Street E
1576,169.8600,SouthBound0Entrance,VAN,5,1st Avenue S
1065,18.9000,SouthBound0Entrance,SUV,5,1st Street E
1321,94.8200,SouthBound0Entrance,SUV,4,1st Street W
1579,170.6200,SouthBound0Entrance,VAN,4,1st Avenue S
1068,19.5000,SouthBound0Entrance,SEDAN,4,1st Street E
1327,97.1800,SouthBound0Entrance,VAN,5,1st Street E
1329,97.5400,SouthBound0Entrance,VAN,4,1st Avenue S
1586,172.3000,SouthBound0Entrance,SUV,5,1st Street W
1075,21.5600,SouthBound0Entrance,COUPE,3,1st Street W
1587,172.4000,SouthBound0Entrance,COUPE,3,1st Street E
1076,21.7000,SouthBound0Entrance,COUPE,4,1st Street W
1333,98.8800,SouthBound0Entrance,SUV,3,1st Avenue S
1589,172.6400,SouthBound0Entrance,SEDAN,4,1st Street E
1078,21.9200,SouthBound0Entrance,SUV,5,1st Street E
1592,173.7200,SouthBound0Entrance,VAN,5,1st Street W
1081,23.2600,SouthBound0Entrance,SEDAN,3,1st Avenue S
1593,174.5400,SouthBound0Entrance,VAN,3,1st Street W
1339,101.8000,SouthBound0Entrance,COUPE,5,1st Street E
1596,176.2000,SouthBound0Entrance,VAN,3,1st Street W
1598,177.1800,SouthBound0Entrance,COUPE,5,1st Avenue S
1599,177.3600,SouthBound0Entrance,COUPE,4,1st Avenue S
1346,103.6400,SouthBound0Entrance,VAN,4,1st Street E
1602,177.9200,SouthBound0Entrance,SUV,3,1st Street E
1092,26.1000,SouthBound0Entrance,COUPE,5,1st Avenue S
1604,178.6400,SouthBound0Entrance,VAN,5,1st Street W
1349,103.8800,SouthBound0Entrance,SEDAN,3,1st Street W
1094,26.8200,SouthBound0Entrance,COUPE,3,1st Street E
1607,179.3400,SouthBound0Entrance,COUPE,4,1st Avenue S
1608,179.6000,SouthBound0Entrance,COUPE,3,1st Street E
1611,180.9800,SouthBound0Entrance,VAN,4,1st Avenue S
1100,30.0200,SouthBound0Entrance,SEDAN,3,1st Street E
1101,30.0400,SouthBound0Entrance,COUPE,4,1st Street W
1102,30.9400,SouthBound0Entrance,SEDAN,5,1st Avenue S
1616,181.9200,SouthBound0Entrance,SEDAN,3,1st Street W
1361,107.9200,SouthBound0Entrance,COUPE,4,1st Avenue S
1618,182.4600,SouthBound0Entrance,VAN,4,1st Avenue S
1107,32.2200,SouthBound0Entrance,VAN,3,1st Avenue S
1110,33.0600,SouthBound0Entrance,VAN,4,1st Avenue S
1622,183.8800,SouthBound0Entrance,SEDAN,3,1st Street E
1368,110.5800,SouthBound0Entrance,COUPE,5,1st Street W
1113,33.4800,SouthBound0Entrance,SUV,5,1st Avenue S
1370,111.7800,SouthBound0Entrance,VAN,3,1st Street E
1626,184.8800,SouthBound0Entrance,SUV,5,1st Avenue S
1372,112.0600,SouthBound0Entrance,SUV,4,1st Avenue S
1628,185.4200,SouthBound0Entrance,SEDAN,4,1st Avenue S
1117,35.1000,SouthBound0Entrance,SUV,3,1st Street W
1630,185.6400,SouthBound0Entrance,SUV,3,1st Street W
1119,35.1800,SouthBound0Entrance,VAN,5,1st Street W
1633,187.0200,SouthBound0Entrance,SEDAN,3,1st Avenue S
1634,187.5200,SouthBound0Entrance,COUPE,5,1st Street E
1637,188.4000,SouthBound0Entrance,SEDAN,4,1st Street W
1382,117.0200,SouthBound0Entrance,SUV,4,1st Street E
1127,37.5400,SouthBound0Entrance,SEDAN,4,1st Avenue S
1643,190.0400,SouthBound0Entrance,VAN,3,1st Street W
1388,118.9200,SouthBound0Entrance,COUPE,3,1st Street W
1645,190.4600,SouthBound0Entrance,COUPE,5,1st Avenue S
1136,40.2400,SouthBound0Entrance,VAN,3,1st Avenue S
1393,119.8800,SouthBound0Entrance,SEDAN,5,1st Street W
1652,191.7600,SouthBound0Entrance,SUV,4,1st Street W
1141,42.1800,SouthBound0Entrance,SUV,3,1st Street E
1142,42.3800,SouthBound0Entrance,VAN,5,1st Street W
1656,193.1600,SouthBound0Entrance,SUV,4,1st Avenue S
1657,193.6800,SouthBound0Entrance,SUV,3,1st Street E
1402,122.5400,SouthBound0Entrance,SUV,5,1st Street W
1147,43.3600,SouthBound0Entrance,VAN,4,1st Street W
1405,123.2200,SouthBound0Entrance,SUV,3,1st Street W
1406,123.5200,SouthBound0Entrance,COUPE,4,1st Street W
1151,44.7400,SouthBound0Entrance,SUV,5,1st Street E
1409,125.2600,SouthBound0Entrance,COUPE,5,1st Avenue S
1667,196.1800,SouthBound0Entrance,SEDAN,4,1st Avenue S
1156,45.8400,SouthBound0Entrance,SEDAN,4,1st Street E
1412,125.7400,SouthBound0Entrance,SUV,4,1st Street E
1668,197.0200,SouthBound0Entrance,SEDAN,5,1st Avenue S
1413,125.8000,SouthBound0Entrance,COUPE,3,1st Street E
1162,47.3000,SouthBound0Entrance,COUPE,3,1st Avenue S
1163,47.3400,SouthBound0Entrance,SEDAN,5,1st Street E
1419,128.1200,SouthBound0Entrance,SUV,3,1st Street W
1676,197.6800,SouthBound0Entrance,VAN,3,1st Street W
1421,129.0000,SouthBound0Entrance,COUPE,4,1st Avenue S
1677,198.4400,SouthBound0Entrance,SEDAN,5,1st Street E
1679,199.2000,SouthBound0Entrance,COUPE,4,1st Avenue S
1424,129.3600,SouthBound0Entrance,SEDAN,5,1st Street E
1169,49.4800,SouthBound0Entrance,COUPE,3,1st Street W
1425,129.8000,SouthBound0Entrance,SEDAN,3,1st Street E
1172,49.6600,SouthBound0Entrance,VAN,4,1st Street E
1428,130.8600,SouthBound0Entrance,SUV,4,1st Avenue S
1429,131.1400,SouthBound0Entrance,COUPE,5,1st Avenue S
1431,131.3200,SouthBound0Entrance,SUV,3,1st Avenue S
1687,199.9200,SouthBound0Entrance,VAN,5,1st Street E
1176,51.3000,SouthBound0Entrance,COUPE,4,1st Street E
1688,200.0800,SouthBound0Entrance,COUPE,3,1st Street E
1177,51.3200,SouthBound0Entrance,COUPE,3,1st Street W
1438,132.6400,SouthBound0Entrance,COUPE,4,1st Avenue S
1439,133.1200,SouthBound0Entrance,SUV,3,1st Avenue S
1442,133.5600,SouthBound0Entrance,SUV,5,1st Street E
1446,134.0600,SouthBound0Entrance,COUPE,4,1st Street W
